mz_rt	6	10	14	18	20	26	34	35	43	49	61	69	73	74	76	77	84	93	96	99	101	105	111	113	119	132	151	154	160	blank1	blank2	blank3	blank4	QC00	QC0	QC1	QC2	QC3	QC4	QC5
900.80126_8.804	1182516.692	83142731.12	18469026.32	1764278.826	1660804.288	3789740.906	83590554.57	29672809.25	60847253.74	72384584.26	22548354.82	433009385.4	100240.4787	54804186.73	60849226	22482851.98	17995142.98	16562058.79	4379840.693	10873751.84	39465263.38	51733355.38	37069554.82	27003153.76	13371743.2	56335458.53	246084035.8	21184476.85	29134759.65	868098.7609	686752.9421	497941.0407	512616.8918	11673291.59	58806104.26	59120589.38	60208366.32	59178290.47	61327787.84	62727296.27
898.78558_8.444	703239.9237	64024509.8	14546694.09	1677097.782	1705979.172	3270188.904	80032308.27	11392259.74	19979885.68	26945985.89	14280312.26	379896030.5	6474518.194	11852146.71	65332854.27	11599987.88	67569.63254	13693775.73	2366206.556	9737523.589	21781249.87	41108362.46	27696168.42	21858048.55	12034766.53	42843364.43	237953612.9	12309879.88	24471280.62	653896.4584	642062.0787	638776.0242	660080.9049	51592356.96	52442991.26	52314304.73	52883701.45	52399187.91	52032823.94	52406172.81
850.78572_9.232	9790376.21	58020958.58	28255873.33	6038628.292	5879076.782	12838649.56	105756392.2	81092289.23	299353191.3	415171883.2	15808418.22	245118572.7	32057859.85	152025850.9	77480318.92	53706191.7	32083224.53	44725438.97	25023544.38	15736899.04	38260486.22	65975654.04	70179539.55	33017793.85	48448113.61	49116552.62	201119629.8	21887165.44	110549851.6	2619696.965	2416846.623	3005284.041	3003018.222	89390670.63	89240325.08	91530775.67	91370398.67	91793914.55	92392726.31	91927129.91
703.57498_4.442	17768616.44	55012161.8	56098267.75	16684284.92	15355495.15	22753000.39	111288982.5	70114700.2	374781133.9	379030588.3	34140601.71	233863601.5	50747304.39	193427140.6	105306498.4	42176093.76	66864897.33	80054183.73	133653434.2	9519125.294	33601356.13	75670572.44	69273114.58	23598248.93	37193816.59	30242302.71	127961439.9	20440448.65	84147799.82	197562.3383	185802.0348	222643.7192	193520.2833	93109423.2	93362148.03	93386683.72	93560118.64	93610306.8	93774050.35	94186746.06
678.47846_1.89	7784175.608	1913679.553	1912234.274	1740794.877	1523865.078	393615228.2	1761916.086	2289092.034	7864791.66	2380782.387	14615026.88	2341897.242	19999771.85	2467435.086	2499458.876	3609207.176	2030236.133	5389949.863	4975220.277	14600068.76	2627260.615	1872653.644	1865079.586	35430608.76	33503645.35	1703216.843	3574965.693	3385213.735	996863.0786	892788.6913	930572.4837	872871.8551	945134.3971	33352544.22	33741838.88	33583436.8	33635540.41	33574220.26	33270774.95	33961359.12
678.47855_1.89	7156121.146	1251682.557	1386097.286	1463024.898	1316363.966	362732151.5	1061957.947	1814476.31	6124667.571	1461417.566	12784852.32	1681871.522	17958020.91	1817756.744	1771201.436	3042623.607	1359720.812	4384728.429	4083936.378	13654050.72	2495711.051	1779816.722	1735755.966	33301168.82	31375598.93	1385423.38	2685907.873	3157096.641	928851.6637	858715.658	900467.171	845198.7527	913400.0364	30369332.08	30853518.08	30595620.15	30860154.09	30769743.3	30505442.31	30796331.84
1444.88349_0.725	157079.0833	69396.6392	22579142.1	129536.0715	76588.31505	254419.1851	205860.8928	44963.1703	42882.32221	52661.6128	1362991.637	356629504.6	63866.79675	10507282.14	220605.3013	18672736.83	39208.98983	12927906.13	63752.32425	251985.161	82136.89992	137221.1597	909013.0579	208781.5483	100927.3877	93602.34695	1393375.078	1181526.559	5751114.501	145166.22	88736.41126	53602.93054	27787.10006	86808678.33	86772498.36	86676098.07	86668090.1	86858613.7	86807341.44	86830511.9
564.35923_0.754	1114505.307	924868.8876	102655684.7	808564.0181	715367.0465	13142311.83	966964.0004	1069447.568	614152.8762	1313060.416	36805403.79	132931704.7	1846836.967	59954778.54	821698.0165	363217366.1	774612.2571	6416310.9	1176587.544	1405304.722	987657.3786	1251705.547	4246990.682	4481519.57	1675829.094	1246826.653	2292249.382	25902194.25	205810527	319549.0159	290241.4296	273293.2158	201651.2629	72725054.04	72470995.71	72137712.56	72841004.43	72758467.4	72525731.33	73146474.27
1488.90965_0.726	173871.0792	87369.91053	25063582.62	132616.9885	89479.99533	298050.5356	236795.3348	55725.15418	40508.88645	58433.20577	1886321.146	347647337.1	91714.54211	16557408.9	258058.2538	25175505.23	32463.79812	13387037.21	73815.91107	265160.5175	85962.96136	154287.504	895221.1509	250415.8744	88576.4407	147406.1053	1592901.622	1505252.299	15187183.07	164439.3295	101405.2744	39610.07276	21778.63334	94054277.33	93496925.54	93526496.93	93157360.08	93555545.74	93357594.34	93406199.53
1400.8569_0.726	160216.997	96602.538	19776137.95	147122.52	87066.71574	175290.861	192930.5741	47301.34559	48970.31101	39734.01383	1251309.058	327998726.2	88304.78962	11818760.63	243791.2752	11004537.09	47193.4959	13539898.75	53743.9883	292080.1062	82306.60917	144712.0785	789954.4726	176321.9767	90299.76726	88455.02539	1572596.313	949201.7832	7751229.175	152275.9127	84250.38238	48104.83039	23620.15817	91440844.18	93481316.85	90656136.82	83057743.06	90835345	90906419.76	91056621.26
1532.93538_0.728	188325.764	101551.5552	35331239.35	124075.9576	133895.2417	305618.9314	222886.1649	55120.33601	34638.96123	40462.07183	2360085.364	320602821.4	91500.31302	23869352.17	240410.2735	29500941.26	33721.37928	12318652.26	77097.38279	250984.0646	106217.6168	134256.6689	766644.0778	294316.3812	106669.5789	115688.4873	1449498.956	1855612.31	18128058.58	168199.4315	94875.37124	56318.78686	23440.15326	92644642.14	91347199.93	92054482.21	92578280.7	92260872.32	93037074.87	93106500.11
